CAMPAÑA FINAL;MES;BASE;Altas;Ingresos
ABAI Masivo;1/01/2025;Adicionales;1976; $ 34.427.848 
ABAI Proactivo;1/01/2025;Adicionales;661; $ 11.516.603 
ABAI Segundo Anillo;1/01/2025;Adicionales;240; $ 4.181.520 
ABAI Whatsapp;1/01/2025;Adicionales;470; $ 8.188.810 
Almacontact Swat;1/01/2025;Adicionales;1470; $ 25.611.810 
AQI  Segundo Anillo;1/01/2025;Adicionales;240; $ 4.181.520 
AQI Masivo Barranquilla;1/01/2025;Adicionales;1185; $ 20.646.255 
AQI Whatsapp;1/01/2025;Adicionales;261; $ 4.547.403 
Atento  Segundo Anillo;1/01/2025;Adicionales;360; $ 6.272.280 
Atento Proactivo;1/01/2025;Adicionales;1650; $ 28.747.950 
Atento Swat Bogotá;1/01/2025;Adicionales;1680; $ 29.270.640 
Atento Traslados Pereira;1/01/2025;Adicionales;1050; $ 18.294.150 
BRM Filtro;1/01/2025;Adicionales;1800; $ 31.361.400 
BRM Masivo Medellín;1/01/2025;Adicionales;1423; $ 24.792.929 
BRM Whatsapp;1/01/2025;Adicionales;592; $ 10.314.416 
COS Fidelización Bogotá;1/01/2025;Adicionales;991; $ 17.266.193 
COS Masivo Bogotá;1/01/2025;Adicionales;1976; $ 34.427.848 
COS Segundo Anillo;1/01/2025;Adicionales;360; $ 6.272.280 
COS Whatsapp;1/01/2025;Adicionales;418; $ 7.282.814 
Millenium Masivo;1/01/2025;Adicionales;711; $ 12.387.753 
Millenium Web Center;1/01/2025;Adicionales;1160; $ 20.210.680 
Nexa Masivo;1/01/2025;Adicionales;632; $ 11.011.336 
ABAI Masivo;1/01/2025;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/01/2025;Convergencia Móvil;0; $ -   
ABAI Segundo Anillo;1/01/2025;Convergencia Móvil;0; $ -   
ABAI Whatsapp;1/01/2025;Convergencia Móvil;0; $ -   
Almacontact Swat;1/01/2025;Convergencia Móvil;0; $ -   
AQI  Segundo Anillo;1/01/2025;Convergencia Móvil;0; $ -   
AQI Masivo Barranquilla;1/01/2025;Convergencia Móvil;0; $ -   
AQI Whatsapp;1/01/2025;Convergencia Móvil;0; $ -   
Atento  Segundo Anillo;1/01/2025;Convergencia Móvil;0; $ -   
Atento Proactivo;1/01/2025;Convergencia Móvil;0; $ -   
Atento Swat Bogotá;1/01/2025;Convergencia Móvil;0; $ -   
Atento Traslados Pereira;1/01/2025;Convergencia Móvil;0; $ -   
BRM Filtro;1/01/2025;Convergencia Móvil;0; $ -   
